Filing Date,Trade Date,Action Date,performance_check_month,performance_check_2_weeks,classification_check_month,classification_check_2_weeks,filing_check_month,Filing Quarter,Difference btw. filing and trade date,Ticker,Title,Delta own,Value,Title Conv.,Delta Own Conv.,Sector,One Month Prior Performance,2-Week Prior Performance,One Month Prior Market Performance,2-Week Prior Index Performance,One Month Prior Volatility Change,2-Week Prior Volatility Change,Number of Recent Transactions,Days Since Last Recent Transaction,Trade Day of Week,Filing Day of Week,Return if exited at the 75th percentile midpoint of daily price action,Return if exited at the 75th percentile open of daily price action,Days to midpoint exit,Days to open exit
2022-07-29,2022-07-29,2022-08-01,2022-07-01,2022-07-18,2022-08-29,2022-08-15,2022-05-04,3,1.72,RKT,CEO,1%,398346,0.0,0.01,Financial Services,0.3419267974076104,0.09645231057724149,0.0892964514182756,0.06046666822563032,-0.08014497693245029,-0.08014497693245029,24,2,4,4,0.10539830647833764,0.09748430910843947,10.0,8.0
2022-07-27,2022-07-27,2022-07-28,2022-06-29,2022-07-14,2022-08-25,2022-08-11,2022-05-02,3,0.76,HCCI,"Pres, CEO",22%,4050000,0.0,0.22,Industrials,0.2534938132230349,0.22079395025086862,0.06466248848178043,0.08194494199147542,-0.1871131968740034,-0.1871131968740034,0,-1,2,2,0.05954545916933002,0.0636363173976089,11.0,9.0
2022-07-27,2022-07-27,2022-07-28,2022-06-29,2022-07-14,2022-08-25,2022-08-11,2022-05-02,3,2.72,RKT,CEO,2%,598426,0.0,0.02,Financial Services,0.3069577112440675,0.09485713413783482,0.06466248848178043,0.08194494199147542,-0.1871131968740034,-0.1871131968740034,23,5,2,2,0.078271992798101,0.07055220377270839,12.0,10.0
2022-07-27,2022-07-27,2022-07-28,2022-06-29,2022-07-14,2022-08-25,2022-08-11,2022-05-02,3,5.35,PLAG,"CEO, 10%",113%,7200000,0.0,1.13,Consumer Defensive,0.09638559581199085,0.2133333683013916,0.06466248848178043,0.08194494199147542,-0.1871131968740034,-0.1871131968740034,0,-1,2,2,-0.07368420392192293,-0.0421052235315376,9.0,1.0
2022-07-26,2022-07-26,2022-07-27,2022-06-28,2022-07-13,2022-08-24,2022-08-10,2022-04-29,3,4.91,NILE,"Exec COB, 10%",0%,848300,3.0,0.0,Industrials,0.10714286094417376,0.0,0.02826734153382954,0.06454007640589482,-0.15027424325508182,-0.15027424325508182,8,15,1,1,0.13793111244365178,0.17241383917124878,8.0,15.0
2022-07-25,2022-07-25,2022-07-26,2022-06-27,2022-07-12,2022-08-23,2022-08-09,2022-04-28,3,3.36,HSAQ,CEO,New,10010000,0.0,1.0,Financial Services,0.005015064131965565,0.003003071805090731,7.397521444250242e-05,0.017938991558088067,-0.09027262014328868,-0.09027262014328868,0,-1,0,0,-0.007340425744693192,-0.009287872029911068,6.0,5.0
2022-07-22,2022-07-22,2022-07-25,2022-06-24,2022-07-11,2022-08-22,2022-08-08,2022-04-27,3,1.69,RKT,CEO,1%,399228,0.0,0.01,Financial Services,0.2746667226155599,0.13539196353838087,0.03796430637551514,0.022133851020958925,-0.1158213269154397,-0.1158213269154397,24,2,4,4,0.0984895190203381,0.0906249844779577,15.0,13.0
2022-07-20,2022-07-20,2022-07-21,2022-06-22,2022-07-07,2022-08-18,2022-08-04,2022-04-25,3,2.91,MOND,"CEO, 10%",0%,1000000,0.0,0.0,Consumer Cyclical,-0.1680244062940176,-0.17889444895403012,0.07098764725778643,0.03630611450823588,-0.13542832001043512,-0.13542832001043512,0,-1,2,2,0.1204818674918975,0.07831320525219457,6.0,17.0
2022-07-20,2022-07-20,2022-07-21,2022-06-22,2022-07-07,2022-08-18,2022-08-04,2022-04-25,3,2.72,RKT,CEO,2%,599369,0.0,0.02,Financial Services,0.4518073098132443,0.1209302227583498,0.07098764725778643,0.03630611450823588,-0.13542832001043512,-0.13542832001043512,23,5,2,2,0.10424079487104976,0.09633508459889907,17.0,15.0
2022-07-20,2022-07-20,2022-07-21,2022-06-22,2022-07-07,2022-08-18,2022-08-04,2022-04-25,3,2.67,MEDP,"CEO, 10%",0%,1207850,0.0,0.0,Healthcare,0.18485808200030615,0.07988654200742012,0.07098764725778643,0.03630611450823588,-0.13542832001043512,-0.13542832001043512,1,2,2,2,0.09907794492383,0.1117802504635209,20.0,20.0
2022-07-18,2022-07-18,2022-07-19,2022-06-17,2022-07-05,2022-08-16,2022-08-02,2022-04-21,3,4.67,MEDP,"CEO, 10%",0%,3222911,0.0,0.0,Healthcare,0.16011995193138073,0.04744497128146151,0.07386727577841762,0.037989624533885186,-0.10485936248563826,-0.10485936248563826,0,-1,0,0,0.12526630761482843,0.12361863876000552,14.0,9.0
2022-07-15,2022-07-15,2022-07-18,2022-06-16,2022-07-01,2022-08-15,2022-08-01,2022-04-20,3,1.71,RKT,CEO,1%,399420,0.0,0.01,Financial Services,0.3021898102891158,0.21031210512933157,0.027538951418163957,0.013184368594617826,-0.14324420424066955,-0.14324420424066955,24,2,4,4,0.1189024055006071,0.0931262922709247,17.0,17.0
2022-07-15,2022-07-15,2022-07-18,2022-06-16,2022-07-01,2022-08-15,2022-08-01,2022-04-20,3,0.68,GOSS,"Pres, CEO",4%,999998,0.0,0.04,Healthcare,0.9021922528674761,0.36727269490559894,0.027538951418163957,0.013184368594617826,-0.14324420424066955,-0.14324420424066955,0,-1,4,4,0.10630942536875958,0.09853071507276939,14.0,14.0
2022-07-14,2022-07-14,2022-07-15,2022-06-15,2022-06-30,2022-08-12,2022-07-29,2022-04-19,3,1.87,SONM,CEO,886%,800000,0.0,8.86,Technology,0.2160714131760963,0.2752809371279244,0.02633064438452571,0.020383023218247528,-0.1764106227259876,-0.1764106227259876,0,-1,3,3,-0.036666671435038246,-0.02933335304260254,7.0,5.0
2022-07-13,2022-07-13,2022-07-14,2022-06-14,2022-06-29,2022-08-11,2022-07-28,2022-04-18,3,1.72,CNXC,CFO,7%,317475,1.0,0.07,Technology,-0.1426435068907503,-0.09488945954624296,0.0071368992703260345,-0.009074349696497268,-0.08333332229543586,-0.08333332229543586,0,-1,2,2,0.09011073891222099,0.08780743883415629,20.0,18.0
